Profundidad,Densidad,PEF,Zeff,Core,Seccion,Porosidad,Permeabilidad
4237.531742,2.4794543,2.8845232,13.421416,C001,T005,,
4237.533793,2.4767692,2.901808,13.443708,C001,T005,,
4237.535843,2.4823086,2.866251,13.397746,C001,T005,,
4237.537894,2.4855003,2.8469954,13.372683,C001,T005,,
4237.539944,2.4882877,2.8447573,13.369762,C001,T005,,
4237.541995,2.4918053,2.8301804,13.350696,C001,T005,,
4237.544045,2.4876602,2.8677032,13.399631,C001,T005,,
4237.546096,2.4962871,2.83479,13.356733,C001,T005,,
4237.548146,2.4951646,2.8507373,13.377563,C001,T005,,
4237.550197,2.5004151,2.8233616,13.341754,C001,T005,,
4237.552247,2.4997625,2.8286536,13.348695,C001,T005,,
4237.554298,2.5025384,2.8140693,13.329542,C001,T005,,
4237.556348,2.4990683,2.8326926,13.353987,C001,T005,,
4237.558399,2.5048251,2.8068962,13.320095,C001,T005,,
4237.56045,2.5039372,2.8112042,13.325771,C001,T005,,
4237.5625,2.5040512,2.8173671,13.333879,C001,T005,,
4237.564551,2.5008659,2.8462465,13.371706,C001,T005,,
4237.566601,2.5091419,2.7973993,13.307561,C001,T005,,
4237.568652,2.5065043,2.8151534,13.330968,C001,T005,,
4237.570702,2.5031455,2.8346467,13.356546,C001,T005,,
4237.572753,2.5021844,2.8432987,13.367857,C001,T005,,
4237.574803,2.506676,2.825933,13.345128,C001,T005,,
4237.576854,2.5104098,2.8227606,13.340965,C001,T005,,
4237.578904,2.4966049,2.8974297,13.438071,C001,T005,,
4237.580955,2.5101392,2.82599,13.345203,C001,T005,,
4237.583005,2.5032682,2.8653831,13.396619,C001,T005,,
4237.585056,2.5072219,2.8420753,13.366259,C001,T005,,
4237.587106,2.5065336,2.8434985,13.368118,C001,T005,,
4237.589157,2.4985893,2.8915858,13.430536,C001,T005,,
4237.591207,2.4925659,2.9401212,13.49278,C001,T005,,
4237.593258,2.4966707,2.9368155,13.488565,C001,T005,,
4237.595308,2.4902978,2.9771526,13.539774,C001,T005,,
4237.597359,2.4926407,2.9728267,13.534306,C001,T005,,
4237.599409,2.4908111,2.9923449,13.558931,C001,T005,,
4237.60146,2.4878123,3.0339789,13.611073,C001,T005,,
4237.603511,2.4809532,3.0854633,13.674842,C001,T005,,
4237.605561,2.491322,3.0488091,13.629522,C001,T005,,
4237.607612,2.495749,3.0343146,13.611492,C001,T005,,
4237.609662,2.4960082,3.0553207,13.637602,C001,T005,,
